Jenis Tanaman,Produksi Tanaman Biofarmaka
Jahe/Ginger(kg),1284
Kapulaga/Java Cardamom(kg),2
Keji Beling/Verbenaceae(kg),...
Kencur/East Indian Galangal(kg),391
Kunyit/Turmeric(kg),522
Laos/Lengkuas/Galanga(kg),1131
Lempuyang/Zingiber Aromaticum(kg),40
Lidah Buaya/Aloevera(kg),4553
Mahkota Dewa/Phaleria Macrocarpa(kg),5521
Mengkudu/Pace/Indian Mulberry(kg),2635
Sambiloto/King of Bitter(kg),670
Temuireng/Black Turmeric(kg),23
Temukunci/Chinese Keys(kg),32
Temulawak/Java Turmeric(kg),70
Jeruk Nipis/Lime(kg),1405
"Serai /Lemongrass
(kg)",471
,
Catatan,
Angka tetap,